ano;mes;secretaria;regime_subgrupo;folha_total;num_registros;num_matriculas;percentual_na_secretaria
2022;4;Secretaria de Assuntos Jurídicos e Patrimônio;comissionados;63874.15;5;3;3.73
2022;4;Secretaria de Assuntos Jurídicos e Patrimônio;flexiveis;24430.719999999998;25;25;1.43
2022;4;Secretaria de Comunicação;funcao_confianca;88826.65000000001;12;10;42.06
2022;4;Secretaria de Comunicação;comissionados;78545.90000000001;6;6;37.19
2022;4;Secretaria de Comunicação;efetivos;43801.299999999996;6;5;20.74
2022;4;Secretaria de Comunicação;flexiveis;0.0;4;4;0.0
2022;4;Secretaria de Cultura;efetivos;252938.15;49;45;67.91
2022;4;Secretaria de Cultura;comissionados;54174.66;4;4;14.54
2022;4;Secretaria de Cultura;funcao_confianca;51347.659999999996;6;6;13.79
2022;4;Secretaria de Cultura;flexiveis;14007.599999999999;14;14;3.76
2022;4;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;efetivos;316056.54;52;43;59.01
2022;4;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;funcao_confianca;149927.33000000002;14;12;27.99
2022;4;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;comissionados;66360.28;5;5;12.39
2022;4;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;flexiveis;3254.3999999999996;3;3;0.61
2022;4;Secretaria de Esportes e Lazer;efetivos;451267.05;57;51;75.55
2022;4;Secretaria de Esportes e Lazer;funcao_confianca;99679.26;14;13;16.69
2022;4;Secretaria de Esportes e Lazer;comissionados;41989.04;3;3;7.03
2022;4;Secretaria de Esportes e Lazer;flexiveis;4339.2;4;4;0.73
2022;4;Secretaria de Gabinete Central;efetivos;279450.46;32;28;44.04
2022;4;Secretaria de Gabinete Central;funcao_confianca;213242.06;23;20;33.6
2022;4;Secretaria de Gabinete Central;comissionados;137575.17;9;9;21.68
2022;4;Secretaria de Gabinete Central;flexiveis;4339.2;4;4;0.68
2022;4;Secretaria de Governo;comissionados;280591.55;23;20;37.08
2022;4;Secretaria de Governo;funcao_confianca;270351.62;28;25;35.73
2022;4;Secretaria de Governo;efetivos;195718.59;15;14;25.87
2022;4;Secretaria de Governo;flexiveis;10003.199999999999;10;10;1.32
2022;4;Secretaria de Mobilidade;efetivos;88343.43;9;7;48.73
2022;4;Secretaria de Mobilidade;funcao_confianca;80751.78;5;5;44.55
2022;4;Secretaria de Mobilidade;comissionados;12185.62;1;1;6.72
2022;4;Secretaria de Recursos Humanos;efetivos;406966.39;67;59;64.72
2022;4;Secretaria de Recursos Humanos;funcao_confianca;204190.64;25;23;32.47
2022;4;Secretaria de Recursos Humanos;comissionados;17617.8;1;1;2.8
2022;4;Secretaria de Recursos Humanos;flexiveis;0.0;2;2;0.0
2022;4;Secretaria de Relações Institucionais e Metropolitanas;comissionados;54174.66;4;4;43.68
2022;4;Secretaria de Relações Institucionais e Metropolitanas;funcao_confianca;36480.01;4;4;29.41
2022;4;Secretaria de Relações Institucionais e Metropolitanas;efetivos;33371.19;5;4;26.91
2022;4;Secretaria de Segurança Urbana;efetivos;3407360.89;388;365;93.72
2022;4;Secretaria de Segurança Urbana;funcao_confianca;210705.02000000002;13;13;5.8
2022;4;Secretaria de Segurança Urbana;comissionados;17617.8;1;1;0.48
2022;4;Secretaria de Serviços Públicos e Obras;efetivos;682757.31;128;114;69.53
2022;4;Secretaria de Serviços Públicos e Obras;funcao_confianca;207354.62;25;23;21.12
