ano;mes;regime;folha_total;num_registros;num_matriculas;percentual
2022;11;PROF/HORISTAS/ESTATUTARIOS   E;6791296.19;408;407;6.58
2022;11;MED.PLANT.ESTAT -LEI 8336/2007;2656268.05;119;104;2.57
2022;11;PROF/EVENT/SUBST/AUTONOMOS   A;1683175.8699999999;1417;1399;1.63
2022;11;ACUMULO DE GRATIF-ESTAT NOVOS;1652742.55;102;87;1.6
2022;11;MEDICOS PLANTONISTAS/ESTATUT.;1635302.95;54;48;1.58
2022;11;C.L.T./TEMP/HORISTA;1415958.38;78;76;1.37
2022;11;COMISSAO/EXTERNO             S;1157704.84;68;63;1.12
2022;11;ESTAGIARIOS;1011714.7999999999;965;959;0.98
2022;11;COMIS ESTAT/MENSAL(INCORPORAN);932070.22;54;54;0.9
2022;11;APOS/PENS-CLT/COMPL.INSS     P;910847.51;173;173;0.88
2022;11;C.L.T.                     C;884696.6;208;180;0.86
2022;11;C.L.T./PROF/TMP/HORISTA;857457.37;128;128;0.83
2022;11;ACUMULO DE GRATTIFICACAO-ESTAT;744485.7;33;27;0.72
2022;11;APOS/INAT-CLT/COMPL.INSS     P;741605.26;94;94;0.72
2022;11;COMIS.ESTAT/HOR(INCORP)NOVOS;647275.15;16;13;0.63
2022;11;C.L.T. MENSAL/TEMP;410891.19;131;131;0.4
2022;11;AGENTE POLITICO              S;364101.22;15;15;0.35
2022;11;COMIS.ESTAT/HOR(INCORPORANDO);301317.29;6;5;0.29
2022;11;AGENTE HONORIFICO;256125.78;37;31;0.25
2022;11;ACUM FG-ANT.COM.EST.HR.C.ORIG;244600.24;8;7;0.24
2022;11;COMIS ESTAT MENS(CARGO ORIGEM);241158.19999999998;6;6;0.23
2022;11;AGENTE POLITICO RPPS NOVOS;105706.8;2;2;0.1
2022;11;COMIS. ESTAT. INT. NOVO;93415.58;8;7;0.09
2022;11;PREFEITO                     S;29363.01;1;1;0.03
2022;11;VICE PREFEITO                S;17617.8;1;1;0.02
2022;11;COMIS ESTAT MENS(ORIGEM) NOVOS;11924.07;1;1;0.01
2022;12;PROF/HOR/ESTAT - LEI 8336/2007;29464961.86;3943;1964;20.87
2022;12;ESTATUTARIOS MEN/ LEI 8336/07;28817833.06;6907;3343;20.42
2022;12;ESTATUTARIO                  E;14715018.44;1819;868;10.42
2022;12;ESTAT. HORISTAS/NOVOS 8336/07;12093110.21;1592;725;8.57
2022;12;ESTATUTARIO/HORISTAS         E;11694740.56;1050;463;8.29
2022;12;COMIS.ESTAT/MENSAL NOVOS (INC);9499937.14;1072;481;6.73
2022;12;PROF/HORISTAS/ESTATUTARIOS   E;9206041.88;810;405;6.52
