tipo,local_canonico,sigla_secretaria,secretaria,efetivo,folha_total,folha_media,ticket_medio
Setor,D. Rede de Atencao A Saude,SES,Secretaria da Saúde,3,31308.86,10436.29,10436.29
Setor,Sequav - D. Compet Esportivas,,,3,31925.53,10641.84,10641.84
Setor,D. Plan E. Apoio A Progr E. Proj,SESU,Secretaria de Segurança Urbana,3,39688.53,13229.51,13229.51
Setor,D. Proc de Multas,SEMOB,Secretaria de Mobilidade,3,29703.04,9901.01,9901.01
Setor,Policlínica — Ônibus Rosa,SES,Secretaria da Saúde,2,20338.74,10169.37,10169.37
Setor,Segov - D. Gestao Acoes Govern,,,2,26400.87,13200.44,13200.44
Setor,Segov - D. Adm E. Governo,,,1,15648.31,15648.31,15648.31
Setor,Segov - D. Gestao Proj de Governo,,,1,13461.26,13461.26,13461.26
UBS,UBS Wanel Ville,SES,Secretaria da Saúde,56,521883.63,9319.35,9319.35
UBS,UBS Aparecidinha,SES,Secretaria da Saúde,56,435901.65,7783.96,7783.96
UBS,UBS Ulysses Guimaraes,SES,Secretaria da Saúde,55,451602.23,8210.95,8210.95
UBS,UBS Rodrigo,SES,Secretaria da Saúde,54,494687.13,9160.87,9160.87
UBS,UBS Marcia Mendes,SES,Secretaria da Saúde,53,617758.7,11655.82,11655.82
UBS,UBS Sao Bento,SES,Secretaria da Saúde,52,426394.82,8199.9,8199.9
UBS,UBS Vitoria Regia,SES,Secretaria da Saúde,52,407757.6,7841.49,7841.49
UBS,UBS Brigadeiro Tobias,SES,Secretaria da Saúde,48,480063.58,10001.32,10001.32
UBS,UBS Sao Guilherme,SES,Secretaria da Saúde,46,437443.47,9509.64,9509.64
UBS,UBS Eden,SES,Secretaria da Saúde,45,429556.76,9545.71,9545.71
UBS,UBS Barao,SES,Secretaria da Saúde,45,443086.61,9846.37,9846.37
UBS,UBS Fiore,SES,Secretaria da Saúde,44,498930.28,11339.32,11339.32
UBS,UBS Laranjeiras,SES,Secretaria da Saúde,44,423456.31,9624.01,9624.01
