ano;mes;secretaria;efetivo
2023;5;Secretaria de Recursos Humanos;110
2023;5;Secretaria do Meio Ambiente, Parques e Jardins;107
2023;5;Secretaria de Gabinete Central;85
2023;5;Secretaria de Esportes e Lazer;82
2023;5;Secretaria de Cultura;65
2023;5;Secretaria da Habitação e Regularização Fundiária;39
2023;5;Secretaria de Comunicação;29
2023;5;Secretaria de Mobilidade;27
2023;5;Secretaria de Relações Institucionais e Metropolitanas;11
2023;6;Secretaria da Educação;7783
2023;6;Secretaria da Saúde;2356
2023;6;Secretaria de Segurança Urbana;360
2023;6;Secretaria de Administração;278
2023;6;Secretaria da Cidadania;253
2023;6;Secretaria da Fazenda;203
2023;6;Secretaria de Planejamento e Desenvolvimento Urbano;183
2023;6;Chefia do Poder Executivo;167
2023;6;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;163
2023;6;Secretaria de Serviços Públicos e Obras;141
2023;6;Secretaria de Governo;126
2023;6;Secretaria de Assuntos Jurídicos e Patrimônio;122
2023;6;Secretaria de Recursos Humanos;118
2023;6;Secretaria do Meio Ambiente, Parques e Jardins;110
2023;6;Secretaria de Gabinete Central;84
2023;6;Secretaria de Esportes e Lazer;83
2023;6;Secretaria de Cultura;72
2023;6;Secretaria da Habitação e Regularização Fundiária;40
2023;6;Secretaria de Comunicação;27
2023;6;Secretaria de Mobilidade;26
2023;6;Secretaria de Relações Institucionais e Metropolitanas;10
2023;7;Secretaria da Educação;7612
2023;7;Secretaria da Saúde;2370
2023;7;Secretaria de Segurança Urbana;363
2023;7;Secretaria de Administração;277
2023;7;Secretaria da Cidadania;262
2023;7;Secretaria da Fazenda;200
2023;7;Secretaria de Planejamento e Desenvolvimento Urbano;183
2023;7;Chefia do Poder Executivo;165
2023;7;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;163
2023;7;Secretaria de Serviços Públicos e Obras;141
2023;7;Secretaria de Governo;124
2023;7;Secretaria de Assuntos Jurídicos e Patrimônio;120
2023;7;Secretaria de Recursos Humanos;117
2023;7;Secretaria do Meio Ambiente, Parques e Jardins;106
2023;7;Secretaria de Gabinete Central;88
2023;7;Secretaria de Esportes e Lazer;83
2023;7;Secretaria de Cultura;67
2023;7;Secretaria da Habitação e Regularização Fundiária;40
2023;7;Secretaria de Comunicação;26
2023;7;Secretaria de Mobilidade;23
2023;7;Secretaria de Relações Institucionais e Metropolitanas;10
2023;8;Secretaria da Educação;7512
2023;8;Secretaria da Saúde;2367
2023;8;Secretaria de Segurança Urbana;363
2023;8;Secretaria de Administração;277
2023;8;Secretaria da Cidadania;265
2023;8;Secretaria da Fazenda;195
2023;8;Secretaria de Planejamento e Desenvolvimento Urbano;189
2023;8;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;166
2023;8;Chefia do Poder Executivo;165
2023;8;Secretaria de Serviços Públicos e Obras;139
2023;8;Secretaria de Governo;125
2023;8;Secretaria de Assuntos Jurídicos e Patrimônio;120
2023;8;Secretaria de Recursos Humanos;120
2023;8;Secretaria do Meio Ambiente, Parques e Jardins;105
2023;8;Secretaria de Gabinete Central;89
2023;8;Secretaria de Esportes e Lazer;86
2023;8;Secretaria de Cultura;67
2023;8;Secretaria da Habitação e Regularização Fundiária;37
2023;8;Secretaria de Comunicação;26
2023;8;Secretaria de Mobilidade;25
2023;8;Secretaria de Relações Institucionais e Metropolitanas;10
2023;9;Secretaria da Educação;7737
2023;9;Secretaria da Saúde;2355
2023;9;Secretaria de Segurança Urbana;371
2023;9;Secretaria de Administração;278
2023;9;Secretaria da Cidadania;266
2023;9;Secretaria de Planejamento e Desenvolvimento Urbano;194
2023;9;Secretaria da Fazenda;187
2023;9;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;164
2023;9;Chefia do Poder Executivo;163
2023;9;Secretaria de Serviços Públicos e Obras;136
2023;9;Secretaria de Governo;126
2023;9;Secretaria de Assuntos Jurídicos e Patrimônio;122
2023;9;Secretaria de Recursos Humanos;121
2023;9;Secretaria do Meio Ambiente, Parques e Jardins;107
2023;9;Secretaria de Gabinete Central;89
2023;9;Secretaria de Esportes e Lazer;87
2023;9;Secretaria de Cultura;67
2023;9;Secretaria da Habitação e Regularização Fundiária;37
2023;9;Secretaria de Comunicação;26
2023;9;Secretaria de Mobilidade;24
2023;9;Secretaria de Relações Institucionais e Metropolitanas;10
2023;10;Secretaria da Educação;7714
2023;10;Secretaria da Saúde;2350
2023;10;Secretaria de Segurança Urbana;375
2023;10;Secretaria de Administração;276
2023;10;Secretaria da Cidadania;268
2023;10;Secretaria de Planejamento e Desenvolvimento Urbano;192
2023;10;Secretaria da Fazenda;180
2023;10;Chefia do Poder Executivo;162
2023;10;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;162
2023;10;Secretaria de Serviços Públicos e Obras;135
2023;10;Secretaria de Governo;134
2023;10;Secretaria de Assuntos Jurídicos e Patrimônio;121
2023;10;Secretaria de Recursos Humanos;119
2023;10;Secretaria do Meio Ambiente, Parques e Jardins;108
2023;10;Secretaria de Esportes e Lazer;85
2023;10;Secretaria de Gabinete Central;79
2023;10;Secretaria de Cultura;68
2023;10;Secretaria da Habitação e Regularização Fundiária;39
2023;10;Secretaria de Comunicação;28
2023;10;Secretaria de Mobilidade;23
2023;10;Secretaria de Relações Institucionais e Metropolitanas;11
2023;11;Secretaria da Educação;7675
2023;11;Secretaria da Saúde;2454
2023;11;Secretaria de Segurança Urbana;375
2023;11;Secretaria de Administração;281
2023;11;Secretaria da Cidadania;270
2023;11;Secretaria de Planejamento e Desenvolvimento Urbano;187
2023;11;Secretaria da Fazenda;176
2023;11;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;164
2023;11;Chefia do Poder Executivo;162
2023;11;Secretaria de Serviços Públicos e Obras;135
2023;11;Secretaria de Governo;132
2023;11;Secretaria de Assuntos Jurídicos e Patrimônio;121
2023;11;Secretaria de Recursos Humanos;120
2023;11;Secretaria do Meio Ambiente, Parques e Jardins;108
